name,"12 MacBook (Mid 2017, Silver)CPE",12.3 32GB Multi-Touch 2-in-1 Chromebook PlusCPE,"13.3 MacBook Air (Mid 2017, Silver)CPE","15.4 MacBook Pro with Touch Bar (Late 2016, Silver)CPE","15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray)CPE",ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703XCPE,"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray""CPE",Acer 15.6 Chromebook CB5-571-C4G4CPE,"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver""CPE","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Silver""CPE","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Space Gray""CPE","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage (Latest Model) - Silver""CPE","Apple 13.3 MacBook Air ( Silver)""CPE","Apple MacBook - 12 - Core m5 - 8 GB RAM - 512 GB flash storage - English""CPE","Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver""CPE","Apple MacBook Pro with Touch Bar - 13.3 - Core i5 - 8 GB RAM - 512 GB SSD - English""CPE","Asus - 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 950M - 2TB HDD + 512GB SSD - Sandblasted matte black aluminum""CPE","Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red""CPE","Dell - XPS 2-in-1 13.3 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver""CPE","Dell XPS 15 15.6 4K Touchcreen Laptop Intel i7-6700HQ 16GB 1TB SSD GTX 960M""CPE","Details About Alienware 13 R3 Aw13r3/13.3 Fhd/i77700hq/nvidia Gtx 1060/16gb/512gb Ssd""CPE","Details About Alienware 15 R3 Aw15r3/15.6 Fhd/i77700hq/nvidia Gtx1070/16gb/1tb Hdd+128gb Ssd""CPE","Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb""CPE","Details About Asus Q304 13.3 Laptop I5 2.5 Ghz 6gb 1tb Hdd Win 10 (q304uabhi5t11)""CPE","Details About Dell Inspiron I75675650blkpus 15.6 Laptop I57300hq""CPE","Details About Openbox Excellent: Asus Rog Gl502vm 15.6 Laptop Intel Core I7 12gb Me...""CPE","Details About Razer Blade Laptop 14 Full Hd (i77700hq""CPE","Ginsu BESTBUY5580020 Lenovo Ideapad 11.6 Laptop""CPE","HP - ProBook 14 Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black""CPE","HP 15-AY103DX 15.6 Touchscreen Touch Screen HD Laptop Notebook PC Computer 7th Gen i5-7200U Kaby Lake 8GB Memory 1TB HDD Hard Drive Windows 10""CPE","Lenovo - 100S-14IBR 14 Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Navy blue""CPE","Lenovo - Yoga 710 2-in-1 11.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver Tablet PC Notebook 80V6000PUS""CPE","Lenovo 80TX0007US Y 710-11ISK 11.6-Inch FHD Touch Laptop (Pentium 4405Y, 4 GB Ram, 128 GB SSD, Windows 10), SilverNotebook PC Computer Tablet Touchscreen Screen 2-in-1CPE","Lenovo Flex 4 1470 80SA0000US 2-in-1 - 14 HD Touch - Pentium 4405U 2.1Ghz - 4GB - 500GB""CPE","MSI - WS Series 15.6 Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive + 2TB Hard Drive - Aluminum Black""CPE","New Asus Q524u 15.6fhd 2in1 Touch I77500u 3.5ghz 16gb Ddr4 2tb Hd 940mx2gb W10""CPE","Razer - Blade Pro 17.3 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB SSD - Black""CPE","Samsung - Notebook 5 15.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 920MX - 1TB Hard Drive - Solid black""CPE"
const,0.0,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0.0,0.02,0.01,-0.01,0.02,0.03,0.01,0.02,-0.01,0.01,0.02,0.01,0.03,-0.0,0.01,0.02,0.03,0.02,0.01
"12 MacBook (Mid 2017, Silver)",-5.6,-10.6,-18.04,-6.53,-5.89,-7.55,-6.53,-4.35,-1.94,-8.88,-8.04,-1.64,-6.53,-7.41,-3.8,-6.45,-14.86,-4.57,-12.88,0.89,-8.4,-6.12,-4.04,-5.8,-14.58,-7.89,-9.57,2.84,-6.05,-6.22,-7.96,-12.44,0.39,-10.26,-7.67,-11.12,-8.97,-3.3
12.3 32GB Multi-Touch 2-in-1 Chromebook Plus,-17.1,-22.46,-33.89,-17.21,-11.74,-18.44,-9.02,-5.44,-7.58,-22.54,-20.8,-12.44,-8.29,-13.12,-4.66,-12.07,-26.09,-13.08,-19.55,4.44,-14.93,-9.64,-18.66,-10.16,-26.43,-12.08,-16.15,7.5,-14.51,-9.85,-17.91,-16.9,0.97,-22.6,-12.02,-11.96,-21.65,-4.9
"13.3 MacBook Air (Mid 2017, Silver)",5.6,-0.04,2.18,-1.35,-1.41,9.77,-2.8,-0.31,1.55,2.78,3.0,1.47,-4.15,-2.52,-2.07,-2.71,0.86,-2.65,-3.02,-1.33,2.28,1.24,-4.66,-1.24,2.72,-0.12,-0.36,1.92,-0.35,0.13,-1.49,-5.29,-1.75,-1.76,-0.41,-4.43,0.36,1.04
"15.4 MacBook Pro with Touch Bar (Late 2016, Silver)",-1.87,-6.8,1.87,-17.52,-16.1,-2.0,-18.04,-12.28,-6.02,-0.78,0.21,-0.33,-21.04,-11.89,-16.58,-13.74,-2.25,-3.57,-9.06,-12.44,-15.13,-9.54,1.55,-7.67,-7.39,-9.21,-11.84,-5.85,-9.85,-18.83,-8.46,-9.02,-6.61,-11.09,-15.34,-16.27,-7.65,-9.33
"15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray)",14.62,0.58,-3.11,9.85,3.48,4.22,4.66,2.33,9.91,8.33,6.33,9.17,7.46,7.0,3.63,8.49,-4.84,4.76,-1.33,12.66,5.49,-3.52,8.71,-3.42,-0.19,-2.27,-3.35,1.19,11.4,6.05,6.22,-3.21,7.39,4.98,10.16,-0.12,4.78,6.03
ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X,-18.04,-8.98,-27.99,-2.8,-8.85,-19.99,4.66,-0.05,-13.99,-21.66,-19.94,-14.89,1.76,2.06,3.97,-5.68,-8.81,-3.38,-6.31,0.44,-19.38,-7.15,-26.43,-3.21,-21.57,-5.14,-6.58,-1.65,-9.85,-2.07,-6.84,-2.18,-4.08,-6.12,-11.61,3.71,-9.33,-2.36
"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray""",-13.06,-19.0,-38.56,-22.7,-31.54,-28.43,-21.15,-6.06,-14.58,-22.43,-21.02,-9.82,-30.27,-17.29,-9.33,-27.52,-52.17,-14.18,-48.24,-2.22,-53.38,-22.6,-9.95,-19.07,-55.78,-20.69,-34.68,13.54,-30.4,-38.52,-3.98,-50.79,7.19,-22.08,-51.62,-61.24,-49.16,-28.93
Acer 15.6 Chromebook CB5-571-C4G4,-7.46,-4.38,-7.15,-4.35,-8.96,-0.89,-3.73,-7.46,-7.97,-8.55,-7.18,-6.71,-8.81,-3.02,-7.6,-9.8,8.81,-4.21,-4.09,-5.55,-9.74,-4.25,-23.63,-3.84,1.75,-5.98,-5.86,-3.84,-6.39,0.69,-8.96,-6.84,-13.8,-5.29,-8.29,-2.27,1.08,0.94
"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver""",-4.04,-7.6,-9.33,-3.94,-4.15,-13.55,-7.46,-11.51,-11.86,-6.11,-6.97,-5.89,-5.18,-7.96,-5.87,-5.62,-28.33,-6.95,-13.86,-7.55,-10.26,-10.16,8.08,-17.31,-27.99,-8.73,-10.41,3.84,-11.75,-23.15,-1.74,-22.6,1.55,-5.08,-17.21,-25.95,-21.89,-18.47
