week_number,"12 MacBook (Mid 2017, Gold)","12 MacBook (Mid 2017, Silver)",12.3 32GB Multi-Touch 2-in-1 Chromebook Plus,"13.3 MacBook Air (Mid 2017, Silver)","15.4 MacBook Pro with Touch Bar (Late 2016, Silver)","15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray)",ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X,"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray""",Acer 15.6 Chromebook CB5-571-C4G4,"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver""","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Silver""","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Space Gray""","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage (Latest Model) - Silver""","Apple 13.3 MacBook Air ( Silver)""","Apple MacBook - 12 - Core m5 - 8 GB RAM - 512 GB flash storage - English""","Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver""","Apple MacBook Pro with Touch Bar - 13.3 - Core i5 - 8 GB RAM - 512 GB SSD - English""","Asus - 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 950M - 2TB HDD + 512GB SSD - Sandblasted matte black aluminum""","Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red""","Dell - XPS 2-in-1 13.3 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver""","Dell XPS 15 15.6 4K Touchcreen Laptop Intel i7-6700HQ 16GB 1TB SSD GTX 960M""","Details About Alienware 13 R3 Aw13r3/13.3 Fhd/i77700hq/nvidia Gtx 1060/16gb/512gb Ssd""","Details About Alienware 15 R3 Aw15r3/15.6 Fhd/i77700hq/nvidia Gtx1070/16gb/1tb Hdd+128gb Ssd""","Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb""","Details About Asus Q304 13.3 Laptop I5 2.5 Ghz 6gb 1tb Hdd Win 10 (q304uabhi5t11)""","Details About Dell Inspiron I75675650blkpus 15.6 Laptop I57300hq""","Details About Openbox Excellent: Asus Rog Gl502vm 15.6 Laptop Intel Core I7 12gb Me...""","Details About Razer Blade Laptop 14 Full Hd (i77700hq""","Ginsu BESTBUY5580020 Lenovo Ideapad 11.6 Laptop""","HP - ProBook 14 Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black""","HP 15-AY103DX 15.6 Touchscreen Touch Screen HD Laptop Notebook PC Computer 7th Gen i5-7200U Kaby Lake 8GB Memory 1TB HDD Hard Drive Windows 10""","Lenovo - 100S-14IBR 14 Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Navy blue""","Lenovo - Yoga 710 2-in-1 11.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver Tablet PC Notebook 80V6000PUS""","Lenovo 80TX0007US Y 710-11ISK 11.6-Inch FHD Touch Laptop (Pentium 4405Y, 4 GB Ram, 128 GB SSD, Windows 10), SilverNotebook PC Computer Tablet Touchscreen Screen 2-in-1","Lenovo Flex 4 1470 80SA0000US 2-in-1 - 14 HD Touch - Pentium 4405U 2.1Ghz - 4GB - 500GB""","MSI - WS Series 15.6 Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive + 2TB Hard Drive - Aluminum Black""","New Asus Q524u 15.6fhd 2in1 Touch I77500u 3.5ghz 16gb Ddr4 2tb Hd 940mx2gb W10""","Razer - Blade Pro 17.3 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB SSD - Black""","Samsung - Notebook 5 15.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 920MX - 1TB Hard Drive - Solid black"""
4,,,,,,,,,,,,,,,,,,,,1399.99,,,,,,,,,,,,,,,,,,,
9,,,426.495,,2799.99,2599.99,,899.99,236.495,1599.99,,,,600.495,1499.99,700.495,1999.9900000000002,,799.99,700.495,900.495,1799.99,1899.99,,657.99,,1249.99,2099.99,123.49000000000001,799.99,499.99,,664.99,379.99,316.99,,807.49,,617.49
10,,,426.495,,2799.99,2599.99,,899.99,238.995,1899.99,,,,600.495,1499.99,700.495,1999.99,,799.99,700.495,900.495,1799.99,1899.99,,657.99,,1249.99,1050.495,161.49,819.99,429.99,229.99,664.99,474.99,335.99,,949.99,,617.49
11,,,,,2715.99,2482.99,,,,1899.99,,,,1127.99,1417.49,,1924.99,,799.99,,1619.99,,,,,,,,,819.99,,218.49,,474.99,383.99,,,,569.99
13,,,449.0,,2547.99,2353.99,,849.99,223.995,1899.99,,,,1061.99,1319.99,1202.49,1834.99,,799.99,1189.99,1574.99,1664.99,1757.49,,545.99,,1137.49,1889.9899999999998,156.99,819.99,499.99,203.49,636.99,444.99,369.99,2399.99,909.99,,591.49
14,,,408.495,,2365.99,2172.99,,899.99,223.995,,,,,1150.49,1411.99,1202.49,1651.49,,799.99,1104.99,,,1757.49,,545.99,,1137.49,1889.9899999999998,156.99,,449.99,176.99,591.49,,323.49,,773.49,,
18,,,426.495,,2570.49,2302.99,,809.99,249.0,1899.99,,,,1221.99,1519.99,1309.49,1780.49,,799.99,1176.49,,1709.99,1804.99,,647.49,,1109.49,2026.4899999999998,162.99,819.99,499.99,218.49,664.99,415.99,337.49,2399.99,949.99,4399.99,569.99
19,,,399.995,,2715.99,2469.99,,809.99,249.0,,,,,1234.99,1519.99,1336.99,1924.99,,799.99,1245.99,,1664.99,1804.99,,508.49,,1187.49,2026.4899999999998,153.49,819.99,427.49,170.99,601.49,369.99,328.99,2399.99,924.99,4179.99,610.99
20,,,426.495,,2715.99,2469.99,,809.99,249.0,,,,,1234.99,1479.99,1432.49,1939.99,,,1073.99,,,1804.99,,600.99,,1187.49,,144.49,,469.99,170.99,664.99,314.99,,,785.99,,
22,,,413.99,,2618.99,2374.99,,764.99,249.0,,,,,1139.99,1441.6566666666668,1336.99,1828.74,1329.99,759.99,1273.99,1649.99,1664.99,1804.99,,508.49,868.49,1097.99,2026.4899999999998,144.49,819.99,469.99,170.99,569.99,,332.49,2399.99,924.99,4179.99,610.99
26,,,,,,,,,249.0,1670.99,,,,,,,,1315.99,,,1649.99,,,,480.99,763.99,,,,819.99,457.49,,591.99,,,2299.99,899.99,4179.99,610.99
27,,,,,,2023.99,,,,,,1364.99,1879.99,,,,1785.99,1231.99,719.99,1119.99,,1349.99,1715.99,,441.99,,1124.99,1889.99,179.99,,,,553.99,,,,799.99,3959.99,571.99
28,,,,,,,,,,,,,,,,,,,,1119.99,,,,,,,,,,,,,615.99,,,,799.99,,
30,1599.99,1299.99,415.495,949.99,2327.99,2195.99,237.49,,199.99,1899.99,1432.49,1432.49,1939.99,,,,1745.99,1174.99,799.9900000000001,1093.49,1649.99,1588.49,1754.99,727.49,480.99,854.99,1187.49,1994.9899999999998,189.99,819.99,449.99,218.49,522.49,,379.99,2399.99,554.99,3959.99,610.99
31,1551.99,1299.99,372.995,949.99,2327.99,2195.99,265.99,,249.0,1899.99,1432.49,1432.49,1794.49,,,,1745.99,1221.99,799.9900000000001,1093.49,2199.99,1664.99,1803.49,775.99,480.99,807.49,1092.49,1994.9899999999998,162.49,819.99,,218.49,647.49,,333.99,2399.99,,4069.99,610.99
32,,,386.995,949.99,,2173.99,265.99,,200.99,,1336.99,1336.99,,,,,1745.99,1315.99,759.99,1093.49,,1749.99,1710.99,799.99,462.49,807.49,1187.49,1994.9899999999998,189.99,,,218.49,554.99,,375.99,,,,
33,1454.99,,,,,,,,,,,,,,1099.99,,,,,,,,,,,,,,,,,,,,,,,,
34,1551.99,1299.99,,,,,,,,1899.99,1432.49,1432.49,1939.99,,1119.99,,1648.99,,759.99,,,,,779.99,,,,,187.99,819.99,,,,,,2399.99,,4069.99,600.99
35,1474.49,1234.99,372.995,911.99,,,304.99,,249.0,1899.99,1360.99,1360.99,1842.99,,1099.99,,1648.99,1091.99,759.99,1093.49,,1618.49,1657.49,799.99,454.99,854.99,1155.99,1994.9899999999998,187.99,819.99,,171.99,513.99,,375.99,2399.99,,4069.99,600.99
